一级组织,二级组织,三级组织,30.您认为公司在哪些方面需要改进? （建议列举三项，多多益善～）,分类
PG 发行 & 商务部,海外发行,,1. 如果食堂的早餐结束时间能结束得晚一点就好了，比如早上10点结束，A1到D7食堂距离实在比较远,
PG 发行 & 商务部,海外发行,,游戏公司的游戏团建太少。,
PG 发行 & 商务部,其他,,"1 工资、奖金待遇不如竞争对手，涨薪机会少
2 假期较少，请假压力大
3 自研产品内部福利少，导致员工不太在意非自己的项目",
PG 发行 & 商务部,其他,,绩效打分应该邀请各部门环评+小组内部打分，单独小组内部自己打分人情分太多了。,
PG 发行 & 商务部,市场推广,,求回归下午茶的水果,
PG 发行 & 商务部,市场推广,,求多一些饮料和零食种类，返场总是很快就莫得了,
PG 发行 & 商务部,市场推广,,"零食柜品类改善
水果回归",
PG 发行 & 商务部,市场推广,,1.希望恢复之前的水果,
PG 发行 & 商务部,游戏发行业务,,"感觉整体活动比较少，缺乏一些互联网游戏公司的氛围；
可以考虑偶尔搞几次水果和零时的上架活动；
感觉有些时候公司内部的信息不是很直达，并不是所有人都有时间逛SLACK的，有时候会错过很多消息。",
PG 发行 & 商务部,游戏发行业务,,空调设置，冬夏经常遇到非常“寒冷”的冷风,
PG 发行 & 商务部,游戏发行业务,,XD和Tap之间可以多一些内部的合作吧,
TapTap,Core Product & Services,CN Engineering,"1.需要部份技术引导，目前几乎全部工作排期用于支持业务开发，鲜有精力基于技术发展探索产品能力边界；更直白来说，就是研发同学的人力几乎全部用于支撑产品与设计，除非加班，否则难有技术沙龙的时间，也让人工作的获得感成就感等正反馈较低；
2.入职几年，工资涨幅几近为0，加上上一条，有一种温水煮青蛙的失落感；",
TapTap,Core Product & Services,CN Engineering,"1. 建议把无限年假改成有具体数字的年假
2. 不要主张延长工时，如果需要统计工时建议使用各平台、IDE、Slack的使用时间而不是打卡时间
3. 更大范围的使用360环评",
TapTap,Core Product & Services,CN Engineering,业务流程需要更加标准化,
TapTap,Core Product & Services,Data Engineering,"1、希望能有明确清晰的目标和路径，管理层能制定并公示自己的 OKR
2、一线同学能承担更多的结果和职责，减少工具人",
TapTap,Core Product & Services,Infra & Ops,加强对管理层的管理和教育，现在部分管理层对一线员工不够尊重、权势压迫的迹象显现,
TapTap,Core Product & Services,Instant Games Engineering,假期有点少；技术沉淀的文档不是很多，对新人来说新名词多，又不知道什么意思,
TapTap,Core Product & Services,International Engineering,绩效激励计划，清晰的晋升机制，培训,
TapTap,Core Product & Services,International Engineering,"在战略方面需要更加明确，做明确的取舍，对于最重要的事情坚定的投入
在沟通执行方面希望可以做到更加顺畅，建立一个机制让想做的事情落地，然后再来复盘看对错，并且持续迭代改进。",
TapTap,Core Product & Services,Mobile Infra,是否可以增加福利年假,
TapTap,Core Product & Services,QA Engineering,奖励制度,
TapTap,Core Product & Services,TapSDK,方向经常变,
TapTap,Core Product & Services,TapSDK,"及时汰换不合适的人
workflow需要更规范化&标准化",
TapTap,Design Team,,设计团队非游戏类的提供的学习分享比较少,
TapTap,Design Team,,"绩效m+的标准希望可以更清晰具体一点，并开放更多名额，辛苦努力了一整年但绩效很难拿到m+，涨薪更是遥遥无期，希望这部分能看到改进。

报销流程可以更简单一点",
TapTap,Design Team,,"1.继续保持弹性工作制，每个岗位职能不同，高效工作的节奏也不同，具体问题具体分析，不要把别的公司的内卷糟粕带进公司的良好氛围
2.不要老是工位搬家，工作需要定心投入，频繁换工位既是额外体力负担也动摇工作状态
3.零食太难吃了，种类还少，餐巾纸福利希望恢复，为防止薅羊毛可以每月按人头额度分配，小细节可以提高员工幸福指数，工作更努力",
TapTap,Developer Ops,技术支持与运营,给予员工积极正向反馈、晋升加薪制度透明。,
TapTap,Developer Ops,技术支持与运营,少点内耗,
TapTap,Developer Ops,商店 B 端运营,小零食种类可以更多吗,
TapTap,Editors,,"培训
精简不必要流程",
TapTap,Editors,,"1、无限年假制度实际执行中有很多不明确的地方，比如什么情况下可以请，是不是我的本职工作完全了全部任务甚至是超额完成任务就可以请，还是说就算工作做得再好，也不能请太多？这个我入职至今没有从任何渠道得到明确的信息。和同事沟通中也了解到，不同部门对于无限年假制度的执行也有较大区别，更多的是看每个部门领导的个人判断，没有统一的标准。
2、公司的报销流程非常低效且繁琐，具体来说，一方面报销需要进行预算申请和报销两个环节，但是这两个环节明显严重重复，另一方面，哪怕是一两百块的报销，也需要最高级别的leader去审批，效率低，而且给leader也增加了没必要的工作负担，导致有一些情况明明进行一些设备采购或者其他采购能够对工作效率和工作成果有明显提升，但是考虑到报销流程麻烦，可能有些同事就放弃了，这样是很不合理的。
3、仅从个人使用体验来说，目前的工作软件组合（Slack+confluence+google）使用体验不够理想，与国内同类解决方案（比如飞书）相比体验有较大差距，我能理解员工有义务去适应，但是既然有对国内网络的友好程度、使用便捷性、对外沟通便捷性、整合度更高的选项，非得整一套要折腾所有人的工作软件，对公司的运营来说是不利的，我认为工作软件作为工具，就应该是最趁手的就是最好的，不应该成为工作的障碍。",
TapTap,IEM,产品运营,"职级晋升
信息透明
资源整合",
TapTap,IEM,产品运营,从上而下的明确宣导晋升和涨薪制度,
TapTap,IEM,其他,希望薪资能够有普调机会，特别是针对那些绩效正常，但是获得过上级口头奖励并有额外的奖金奖励（不在正常绩效机制中体现的）的员工,
TapTap,IEM,商业化,"1、有些事情时间不确定，比如年终奖、调薪时间等，下属偶尔会来问，也不好管理好对方预期
2、大家电脑普遍有点旧了（19年），能否批量更换",
TapTap,IEM,搜索推荐,"绩效激励
节日和日常福利",
TapTap,IEM,引擎工程,"晋升,加薪,",
TapTap,IEM,引擎工程,人员流动；上升通道；,
TapTap,IEM,引擎工程,1.咖啡机是不是没有定期清洗消毒，有2次喝完咖啡就拉肚子了。如果是因为豆子放太多喝不完变质了，可以少放点豆子，这样也能避免变质。,
TapTap,IEM,引擎工程,绩效复核 晋升机制 薪资普调,
TapTap,International,,无限假期基本等于没了，不如取消,
TapTap,International,,"沟通开放程度倒退，都去企微拉群，而不在 slack 频道沟通了
工作氛围较压抑",
TapTap,Ops,KA,人员晋升暂无详细标准,
TapTap,Ops,KA,1、报销流程较长，建议可以适当简化,
TapTap,Ops,KA,希望公司在大方向上尽可能提高决策质量，集合资源做更高ROI的事情，对于部分业务有断舍离的魄力。,
TapTap,Ops,Marketing,"1，希望公司对业务目标以及一些平时的规定能透传更清晰
2，希望公司可以多邀请行业内大佬来培训，增加和行业内的交流和沟通
3，希望公司的零食能更丰富一些",
TapTap,Ops,Marketing,成长机会不是很透明（比如升职加薪的机会）,
TapTap,Project SCE,,下午茶,
TapTap,Project SCE,,多点零食水果、食堂伙食少油少辣,
TapTap,Store,,不会管理就别管理,
TapTap,Store,,相比于B1四楼的桌子，5楼的桌子非常不好用； 鉴于四楼基本闲置的情况下，是不是可以换换。。,
TapTap,Store,,"没有明确的晋升与发展机会
不断造车，但管造不管埋，很多业务弄完上线就停滞
上层信息不透明，业务方向经常调整",
TapTap,Store,,"纸巾发放一直没落地
班车距离办公楼太远了",
TapTap,Store,,这个问卷宣传的是“匿名，大胆说”，上来就填这么细致组织架构、职级，和实名没有本质区别,
TapTap,Store,,公司能提供更多研发上的学习资料或课程,
TapTap,UG,增长策略,1、在AI上的跟进，司内还缺乏更多的交流、分享,
TapTap,UG,增长策略,希望水果回归,
TapTap,UG,增长策略,茶水间小零食希望丰富一下,
TapTap,UG,智能投放算法,"1.内部培训较少，很多工具不清楚用法
2.资料库文档很少，很多东西靠口头教授",
TapTap,UG,智能投放算法,"管理
人才招聘",
财务部,,,"1.回归下午茶的水果
2.想要原味薯片和维他柠檬茶
3.食堂可外送的变多点",
财务部,,,部门架构 财务部所用记账系统（十几年前的老系统，准确说十几年前刚工作用的系统都比这个完善）,
财务部,,,多加点饮料种类,
财务部,,,希望公司在社团活动上给到更多的支持（经费、培训和比赛等），注重员工的生理健康、心理健康、人际关系和培养竞技精神。,
财务部,,,财务、统计的数字化建设不重视，经营、财务数据的基础数据资料、结算资料、统计原始造成效率低下,
财务部,,,希望社团经费能有小小涨幅。,
城北大王寨工作室,Meka项目组,版本管理,"1. 奖金激励制度公式并不透明，获得奖金金额与当初画的饼差距较大，拼了一年挺受打击。
2. 工作强度很高，生活基本被工作占据（今年开始略有好转）。
3. 有时候期望一些诉求时，得到消息是后续会有结论反馈，但很可能就不了了之了。",
城北大王寨工作室,Meka项目组,策划组,当我认为工作职级匹配不上我的工作内容的时候，有没有其他的晋升渠道，我希望能清晰的告知一下,
城北大王寨工作室,Meka项目组,策划组,1.不透明公开的升职涨薪通道 2.没有明确评定标准的绩效规则 3.没有明确的奖惩制度,
城北大王寨工作室,Meka项目组,策划组,"项目团队基本工资业内偏低，也没有得到与业绩相匹配的奖金，不如发加班费
奖金构成不清晰不透明
上班时长问题：有太多无效工作时间，建议提前上班时间，去掉晚餐用餐时间以及用餐后的工作时间",
城北大王寨工作室,Meka项目组,策划组,"1.绩效评比&职级晋升并不是很透明；
2.日常福利有待提升；
3.社团有点少；",
城北大王寨工作室,Meka项目组,策划组,"希望提供一部分水果作为下午茶
其他的觉得都很好了，暂时想不到",
城北大王寨工作室,Meka项目组,策划组,团建实在不行体验太差了，员工福利也取消了很多,
城北大王寨工作室,Meka项目组,策划组,1.更清晰的个人和公司的发展情况与未来规划,
城北大王寨工作室,Meka项目组,策划组,完善晋升通道,
城北大王寨工作室,Meka项目组,策划组,"1、我要柠檬茶！
2、自研部门对内容向输出不够重视，未能形成以公司品牌为核心的粉丝群体
3、TapTap在凝聚玩家精力上仍有欠缺，目前推荐算法的新品、精品、付费作品优先的意识欠缺",
城北大王寨工作室,Meka项目组,策划组,别搞考勤了求求你，没意义，该没产出的人还是没产出，有产出的人只会被折磨,
城北大王寨工作室,Meka项目组,策划组,不要凭借产品的刻板印象/初期印象，进行战略决策,
城北大王寨工作室,Meka项目组,美术组,晚餐时间能否调整回6点开始，我是6点半去吃饭的，人就可以分批，现在全都集中在一起了经常座位都没有,
城北大王寨工作室,Meka项目组,美术组,食堂和零食饮料区有些差强人意，有时候没有清晰的前景规划和发展方向,
城北大王寨工作室,Meka项目组,美术组,新增猫舍,
城北大王寨工作室,Meka项目组,美术组,绩效制度还不够完善。希望把下午水果复活。希望能有加班费制度。,
城北大王寨工作室,Meka项目组,美术组,可以开一些提供大家学习的平台和机会。年会希望不要占用周末时间（希望不是工作日前一天晚上）。可以多一点团建吗。,
城北大王寨工作室,Meka项目组,美术组,"相关专业培训少
食堂样式少，用餐拥挤，外送服务可选餐品少",
城北大王寨工作室,Meka项目组,美术组,1.希望hrbp能够在半年或者一年时间与员工面谈一下，交流工作上是否有什么值得肯定的和欠缺的地方，也想知道如何晋升和是否有调薪机会。,
城北大王寨工作室,Meka项目组,美术组,"1、除了树立自己个人的绩效目标，也希望公司能鼓励Leader们去树立团队的绩效目标，并且这个目标是公开和可以调整的，让团队成员有更清晰的努力方向。团队成员也可以给leader写建议，帮助leader变得越来越好
2、对于绩效不好且工作态度不好的员工，希望上级和HR能与其及时沟通，若沟通后仍未改变希望能有对应的处理
3、对于优秀的团队更要鼓励劳逸结合，只有员工身心健康，最终团队的产出才会越来越好
4、对于优秀的团队和普通的团队，绩效奖金的额度需要有明显的差异，这样能激励优秀员工更加努力",
城北大王寨工作室,Meka项目组,前端程序,公司地址要是能离地铁站更近一些就好了,
城北大王寨工作室,Meka项目组,前端程序,观念陈旧，向上管理,
城北大王寨工作室,Meka项目组,前端程序,1.能不能求一个各种节日的小礼物随机掉落在工位哇，比如新年礼物、圣诞礼物、青年节礼物等等，可以不贵，但是有的话感觉更有仪式感；,
城北大王寨工作室,Meka项目组,项目管理,"绩效
奖金
福利",
城北大王寨工作室,Meka项目组,项目管理,"1. 缺乏项目管理方面的培训课程、或者圆桌会，帮会项目间做横向交流
2. 饮料和零食品种轮换较慢，品类不够丰富
3. 过年没有年货大礼包，逢年过节的活动奖品要靠抽奖不是人人都有
4. 麻烦A2保洁阿姨在开放区域扎堆聊天时候声音小一点",员工福利类
城北大王寨工作室,海盗项目组,策划组,公司高层越过多层直接指导项目工作时，缺乏与执行人员的沟通，基层人员完全没有与其直接沟通的机会，导致基层人员只能被动执行做事，极其影响其主观能动性与工作热情,
城北大王寨工作室,海盗项目组,策划组,环境,
城北大王寨工作室,海盗项目组,策划组,工具流的优化,
城北大王寨工作室,海盗项目组,服务器组,"看不到有人把控公司游戏开发的整体技术上方向
各个项目组间技术壁垒严重不清晰，做不到技术融合与优势互补
缺少技术成果的归纳总结 与 技术和经验的复用",
城北大王寨工作室,海盗项目组,服务器组,1.每天8-9点下班希望能提供通勤班车,
城北大王寨工作室,海盗项目组,服务器组,"1，晋升渠道不清晰
2，希望有薪资普调",
城北大王寨工作室,海盗项目组,服务器组,绩效PKI制度,
城北大王寨工作室,海盗项目组,服务器组,零食柜有点吃腻了,
城北大王寨工作室,海盗项目组,客户端组,医疗保险相对于以前的降档了。,
城北大王寨工作室,海盗项目组,客户端组,"无限年假啥时候取消啊，不能只看没有经济账上的坏处就还继续；
内部分享偏少，尤其是跨项目和部分的，这里指除季度汇报会、老板日志之外的形式；",
城北大王寨工作室,海盗项目组,客户端组,公司的发展方向和战略如果可以更透明一些就更好了,
城北大王寨工作室,海盗项目组,客户端组,没什么新立项或者自研的循环。目前在火炬觉得决策层和我的直接组长都不是很棒，但是没什么改变的空间，也没有活水的机会,
城北大王寨工作室,海盗项目组,客户端组,1.考勤和请假制度，有点宽松；,
城北大王寨工作室,海盗项目组,美术组,公司路远的员工不少.希望加强与滴滴的合作给远途员工上班通勤谋点优惠.,
城北大王寨工作室,海盗项目组,美术组,医疗保险没有上家好用,
城北大王寨工作室,海盗项目组,美术组,希望能报销提高专业能力的网课费用,
城北大王寨工作室,海盗项目组,美术组,无明确的晋升条件，没啥晋升空间,
城北大王寨工作室,海盗项目组,其他,"奖惩机制，公平程度，沟通协调
对犯错的人包容，就是对努力工作人的惩罚",
城北大王寨工作室,横扫千军项目组,,下午茶，,
城北大王寨工作室,伊瑟项目组（Etheria）,策划组,加入雪碧和芬达，加入合理的薪酬调整机制,
城北大王寨工作室,伊瑟项目组（Etheria）,策划组,项目组内绩效考核及其不合理，最终绩效与拍马屁水平挂钩，而非实际工作态度或工作成果。,
城北大王寨工作室,伊瑟项目组（Etheria）,策划组,希望增加员工福利,
城北大王寨工作室,伊瑟项目组（Etheria）,策划组,"1. 如何在人才密度并没有达到理想预期的情况下，更好地实施各项举措（比如现在就有部分自驱力不够的员工滥用无限假期的情况）。
2. 恢复纸巾供应。",
城北大王寨工作室,伊瑟项目组（Etheria）,策划组,1、希望能供应纸巾,
城北大王寨工作室,伊瑟项目组（Etheria）,美术组,"1.晋升渠道
2.涨薪",
城北大王寨工作室,伊瑟项目组（Etheria）,美术组,每天来点水果，零食种类多一点,
城北大王寨工作室,伊瑟项目组（Etheria）,美术组,工区的保洁可以完善一些,
城北大王寨工作室,伊瑟项目组（Etheria）,美术组,注重开发团队的积累以及项目的积累。,
城北大王寨工作室,伊瑟项目组（Etheria）,美术组,早餐再丰富些，尽量不要用预制菜，保险比例能再高一些,
城北大王寨工作室,伊瑟项目组（Etheria）,美术组,"没有晋升机制
没有涨薪机制
对奖金发放有较大的不满",
城北大王寨工作室,伊瑟项目组（Etheria）,美术组,"多关心一下员工是心里健康问题，特别是老员工，压力比较大。关爱为公司牺牲青春的老人们，他们也很努力，他们有更多重的压力。
多给老员工展现自我价值的空间，在公司时间久了，给不到提升晋升和加薪的空间，心态会越来越不平衡，负面因素会越来越重，老员工不应该被遗忘。
晋升和加薪的机会对绝大部分员工来说都比较虚无缥缈，很难激励到员工，对于很多老员工来说，很多年才得到一个加薪的机会，即使熬了好几年，得到的机会，加的工资都赶不上通货膨胀的。
多帮助员工自我提升技能，多一些交流培训的机会。
多一些跨部门交流，分享会，不要都埋头做自己的，需要多交流，遇到什么问题是怎么解决的，有什么新的技术可以应用到工作。",
城北大王寨工作室,伊瑟项目组（Etheria）,美术组,"1、福利差异不透明
建议taptap、adn与研发线、各工作室间的福利差异化逻辑，明确工作量与奖励关联机制，减少因信息模糊导致的负面情绪，同时为工作室员工设立同等的晋升路径，避免长期职级和薪资的停滞

2、未上线项目贡献认可缺失
理解各项目差异存在激励差距，但未上线项目也可以创立非现金激励，承认过程成果而非仅以营收判定价值

3、对于吸烟的管制
经常有人在公区内吸食电子烟，吸烟区离员工区距离也过小导致很多二手烟被带进来公区，周围的同事都认为办公环境被空气污染很严重，但能改善的措施非常少也没有明确",员工福利类
城北大王寨工作室,伊瑟项目组（Etheria）,美术组,尽可能不要有制度性加班，形式加班，在某些时期加班能理解，但并非所有人都有加班的必要，尤其是没有具体任务要赶的人留下来摸鱼陪跑其实受益不大,
城北大王寨工作室,伊瑟项目组（Etheria）,美术组,想团建活动,
城北大王寨工作室,伊瑟项目组（Etheria）,美术组,工具流程的专业度 产品的高度,
城北大王寨工作室,伊瑟项目组（Etheria）,前端组,加班问题，可以理解加班，但应该把企业滴滴的时间提前到9点，不然回家太晚了,
法务部,,,工作流程，如推进合同管理系统等,
极心社工作室,策划,,加班福利,
极心社工作室,策划,,固定车位（d7稍微晚来一点，就没有特别近的车位了），租房补贴，补充公积金,
极心社工作室,策划,,1.都有了饭堂、商保这种大福利了，像之前纸巾之类小福利就不要抠了，这样一对比口碑上的性价比就掉了。,
极心社工作室,策划,,"1、TAPTAP是极富有前景的平台，但是目前对TAPTAP的前景规划模糊，多年来始终不温不火，无法成为中国的STEAM，如果TAPTAP能提前布局把握住国产单机游戏的红利，将会对于公司的影响力有更大的提升。
2、AI方面的研发和应用不深，。
3、D7食堂的饭菜太辣了……怕不是找了个川菜师傅，微辣都能把人辣的上蹿下跳。",
极心社工作室,策划,,薪酬调整、晋升之类的节点希望能更明确吧，不管实际是否能达成晋升/涨薪的期望，也希望在明确的节点可以提起申请之类的，能得到明确的结果反馈,
极心社工作室,策划,,技术力不够,
极心社工作室,策划,,"建议取消3餐福利
构建更完善的薪酬外的激励机制
探索AI出台更详细的规划和方案",
极心社工作室,策划,,各个工作室或者部门之间的旅游福利,
极心社工作室,技术,,"1，开发用的电脑有点慢
2，部分开发用软件的申请也有点难批
3，某些楼层空调不知不太合理，同楼层有很大的温差。",
极心社工作室,技术,,激励措施，人才培养,
极心社工作室,美术,,晋升机制优化，外包人员驻场机制优化，恢复项目旅游福利,
极心社工作室,美术,,"1、公司比较少有前沿探索项目
2、公司的假期制度比较混乱，而且年假也没有采取与司龄挂钩的方式",
极心社工作室,美术,,"1.感觉提需求的人太多，做需求的人太少。其原因要么是各方预期太高、声音太杂导致需求失控，要么就是被优化后的人力结构不合理。
2.希望引入平级同事之间的合作方法，加强平级同事之间的合作和沟通，提高团队面对紧急情况的抗风险能力。
3.希望公司开点新项目，为以后的市场竞争作储备。",
极心社工作室,美术,,"・加强部分司内文件（如confluence等）的保密措施，保密分级
・加强跨部门合作的协作便利性与稳定性，加强部门间沟通
・为员工建立更多灵活的学习平台",
极心社工作室,美术,,美术中台的使用希望不计算到工作室的人头上。否则将导致美术中台和外包比没有竞争力。,
极心社工作室,美术,,团建经费偏少，很少组织大家一起外出团建,
极心社工作室,美术,,学习新工具软件如果有详细的教程或者学习分享渠道就好了~,
极心社工作室,其他,,更多内外交流机会,
技术支撑部,品控支撑,RO测试组,小零食种类,
技术支撑部,品控支撑,测试开发组,"中台支撑部处于尴尬的位置，项目组不太信任支撑部，支撑部也不会对完整项目负责，导致很多技术不能很好的落地到项目组，只做一些单独的边角工作。

各个项目组都有自己的标准和习惯，没有统一的架构和规划，支撑部只能不断打补丁兼容每一个项目，没有充分发挥一个公司的技术优势。

在 AI 转型方面转向速度过快，过于激进。专注于推进 AI 技术导致了对常规业务的挤压，出现领导层更看重AI ，对其它的部分关注程度降低的情况。",
技术支撑部,品控支撑,测试开发组,"优先考虑满足当下的工作需求，有余力再开拓创新
能否让维他柠檬茶常驻 （别人的建议）",
技术支撑部,品控支撑,测试开发组,公司游戏周边能不能偶尔阳光普照下，打卡领取啥的，毕竟不是什么游戏都能参与的；这两年公司集体活动有点少，节假日的氛围啥的也不够弄；其他没了吧,
技术支撑部,品控支撑,测试支撑组,"加班没有加班费且加班时间过久影响员工健康
管理层冗余，根本不理解基层员工诉求
请假困难，部分项目组的排期根本无法预留员工正常的休息时长",
技术支撑部,品控支撑,测试支撑组,希望自己所在的项目能执行6.30下班,
技术支撑部,品控支撑,测试支撑组,关于项目组的工作时间，早10晚8，晚6:30吃饭，7:30工作到8点，是否可以考虑将最后的半小时移至早间，变为9:30~6:30，晚饭去不去食堂吃饭取决于个人，8点下班已经挤占个人时间了,
技术支撑部,品控支撑,测试支撑组,"绩效考核标准
人员考评标准",
技术支撑部,品控支撑,测试支撑组,强烈建议员工旅游回归！,
技术支撑部,品控支撑,测试支撑组,日常福利（比如说水果？）,
技术支撑部,品控支撑,心动小镇测试组,"公司员工职业培训；
公司信息公开",
技术支撑部,品控支撑,心动小镇测试组,"1、希望能有补充公积金的福利
2、增加食堂外卖的份数",
技术支撑部,品控支撑,专项测试组,食堂占位现象,
技术支撑部,研发支撑,TA组,"晋升
工作量和工作成果的评估
对于低质量高薪人员的重评估",
技术支撑部,研发支撑,TA组,"建议建立或加强技术支持渠道的交流，比如一些线上课程。
建议进一步利用AI或自动化工具，提升工作效率，例如尝试更多的查询库和实践流程。",
技术支撑部,研发支撑,TA组,许愿以前的零食柜,
技术支撑部,研发支撑,工具开发组,"各种通知更及时和醒目，比如有些并能够只是git 邮箱通知，最好slack 再通知一下。
各类老板们的直播，偶然会忘了去看。最好能有回播等
希望各类的交流课程更多一些，感觉比前两年少太多了",
技术支撑部,研发支撑,工具开发组,"提供纸巾、小零食，提高一些基础福利
提供一些培训课程，提升各方面的技能，比如AI分享等",
技术支撑部,研发支撑,引擎后端组,"1. 提供更多的参会学习的机会，比如 GDC 等，当然，需要英语与沟通能力足够，保证参会的学习效果和投产比
2. 赋予管理者更多的管理工具与激励手段
3. 目前公司的唯结果论与严苛的成本管理可以理解，不过，这也相对扼杀了长期积累与技术突破的能力。是否可以将业务部门与技术部门做进一步预期细化，希望可以赋予技术团队管理者更多的弹性，在做好产能服务的同时，也能投入更多的时间做积累和提升",
技术支撑部,研发支撑,引擎后端组,提供显示器支架/升降架， 流感季可以再补充一些常见药品/口罩,
技术支撑部,研发支撑,引擎后端组,"希望社团能增加经费
希望零食能增加小浣熊方便面
希望能鼓励使用更多的新AI工具",
技术支撑部,研发支撑,引擎后端组,在绩效考评机制上，目前个人最终绩效评分的上限 是其所在部门的绩效评分（即使说实际绩效规则是不这样，在之前的绩效评定中我也被明确告知有这条规则）。这种做法我认为有些过于一刀切了，综合部门绩效和部门人数，给出部门每个绩效评分的最大人数，也比当前这种做法合理一些。,
技术支撑部,研发支撑,引擎前端组,各方面都很好了，实在找不出意见,
技术支撑部,研发支撑,引擎前端组,在员工福利上可以再增加一点，也希望可以多一些和本部门以及其他部门其他项目组合作沟通机会,
技术支撑部,研发支撑,引擎前端组,"1. 随意变更薪资结构
2. 鼓励加班,但没有相应的补偿机制
3. 故意年底优化员工",
技术支撑部,研发支撑,游戏安全组,没有升职加薪，没有普涨，来了几年薪酬基本没动,
技术支撑部,研发支撑,游戏安全组,1. 零食饮料柜增加轮换机制，按照月或者季轮换一些饮料和零食,
技术支撑部,研发支撑,游戏安全组,"1、取消无限年假，完善加班调休制度
2、奖金分配系数管理者可调
3、重视基建投入，合理分配公摊",
美术支撑部,2D组,,加班福利，加薪，奖金,
美术支撑部,2D组,,目前来说没有了，已经觉得很满意了。,
美术支撑部,2D组,,1.技能培训 2.培养新人,
美术支撑部,2D组,,"1.工作负载分配存在优化空间，人效比和可持续发展需更好平衡。
2.建立更清晰的晋升机制，激励员工贡献并提供发展机会。",
美术支撑部,3D组,,对新人的鼓励政策,
美术支撑部,3D组,,"非常认可，支持公司的发展方向，也非常理解在发展过程中，会经历的不确定和试错。

对于个人，会期望团队，给予更多的机会，让自己可以更多的为团队目标努力。",
美术支撑部,UI组,,如果饮料过一阵子能换换品种就最好了（怀念维他柠檬茶）,
美术支撑部,美宣组,,"1.优化激励机制，强化绩效导向

建议完善多劳多得的考核体系，明确评估标准（如项目贡献、质量达标率等）。

当团队超额完成目标或产出高于行业基准时，希望能获得即时奖励（如奖金、晋升机会）或公开认可，以持续激发积极性。

2.拓宽技术成长路径

设立专项学习基金，支持员工提升核心技能（如报销相关专业课程），帮助团队保持技术竞争力。

3.对标行业福利，打造差异化优势

定期分析同行福利政策，结合公司特点优化福利包，提升人才吸引力。",
美术支撑部,美宣组,,1.A2厕所坑位少2.零食不够，时常下午4-5点感觉饥饿，但是零食柜里的面包添加剂防腐剂多，不敢吃，建议买一些健康一些，品质高一些的东西3.节日氛围少，以前小节日，都有小惊喜，大节日公司还有活动，情绪价值满满,
美术支撑部,其他,,"1）晋升机制可以再明确谢
2）项目阶段性成功或者失败的回顾
3）历史项目产过程中的经验，需要累计和延续",
美术支撑部,其他,,信息透明,
美术支撑部,其他,,"美术中台应该有明确的定位和权责划分。而不应仅仅是内包和服务部门。
不应该单从成本考虑，公司内部互相薅羊毛，特别是有盈利能力的工作室更应该有担当。
有价值的技术成果要组织分享，避免工作室之间以及中台各自为战，增加无端的重复研发成本。",
